"response","time_taken","conf_level","choice_reason","sample_size","p_value","age","academic_study","gender","beta","sigma","id","replica","pic"
"FALSE",106,4,"1",100,0.0036,3,5,"Male",3,5,16,2,"plot_turk1_100_3_5_2.png"
"TRUE",29,5,"1",100,0,3,5,"Male",5,5,16,2,"plot_turk1_100_5_5_2.png"
"TRUE",59,2,"2",100,0.0248,3,5,"Male",3,12,16,1,"plot_turk1_100_3_12_1.png"
"FALSE",47,5,"1",100,0.6744,3,5,"Male",3,12,16,3,"plot_turk1_100_3_12_3.png"
"FALSE",88,3,"2",300,0.0063,3,5,"Male",1,5,16,1,"plot_turk1_300_1_5_1.png"
"FALSE",63,3,"1",300,0.0898,3,5,"Male",1,5,16,2,"plot_turk1_300_1_5_2.png"
"FALSE",56,4,"2",300,0.4401,3,5,"Male",1,5,16,3,"plot_turk1_300_1_5_3.png"
"TRUE",85,4,"2",300,0,3,5,"Male",3,5,16,1,"plot_turk1_300_3_5_1.png"
"TRUE",18,5,"1",300,0,3,5,"Male",5,5,16,1,"plot_turk1_300_5_5_1.png"
"TRUE",29,4,"1",300,0,3,5,"Male",5,12,16,1,"plot_turk1_300_5_12_1.png"
"FALSE",106,4,"1",100,0.0036,3,5,"Male",3,5,16,2,"plot_turk1_100_3_5_2.png"
"TRUE",29,5,"1",100,0,3,5,"Male",5,5,16,2,"plot_turk1_100_5_5_2.png"
"TRUE",59,2,"2",100,0.0248,3,5,"Male",3,12,16,1,"plot_turk1_100_3_12_1.png"
"FALSE",47,5,"1",100,0.6744,3,5,"Male",3,12,16,3,"plot_turk1_100_3_12_3.png"
"FALSE",88,3,"2",300,0.0063,3,5,"Male",1,5,16,1,"plot_turk1_300_1_5_1.png"
"FALSE",63,3,"1",300,0.0898,3,5,"Male",1,5,16,2,"plot_turk1_300_1_5_2.png"
"FALSE",56,4,"2",300,0.4401,3,5,"Male",1,5,16,3,"plot_turk1_300_1_5_3.png"
"TRUE",85,4,"2",300,0,3,5,"Male",3,5,16,1,"plot_turk1_300_3_5_1.png"
"TRUE",18,5,"1",300,0,3,5,"Male",5,5,16,1,"plot_turk1_300_5_5_1.png"
"TRUE",29,4,"1",300,0,3,5,"Male",5,12,16,1,"plot_turk1_300_5_12_1.png"
"TRUE",167,2,"1",100,0.0586,3,3,"Male",3,5,73,3,"plot_turk1_100_3_5_3.png"
"TRUE",75,1,"1",100,0.0248,3,3,"Male",3,12,73,1,"plot_turk1_100_3_12_1.png"
"FALSE",95,1,"1",100,0.6744,3,3,"Male",3,12,73,3,"plot_turk1_100_3_12_3.png"
"TRUE",105,1,"1",100,0,3,3,"Male",8,12,73,1,"plot_turk1_100_8_12_1.png"
"FALSE",148,1,"1",100,0.0033,3,3,"Male",10,12,73,3,"plot_turk1_100_10_12_3.png"
"FALSE",279,2,"1",300,0.0898,3,3,"Male",1,5,73,2,"plot_turk1_300_1_5_2.png"
"TRUE",87,1,"1",300,0,3,3,"Male",3,5,73,3,"plot_turk1_300_3_5_3.png"
"TRUE",81,1,"1",300,0,3,3,"Male",5,5,73,2,"plot_turk1_300_5_5_2.png"
"FALSE",84,1,"1",300,0.0082,3,3,"Male",5,12,73,3,"plot_turk1_300_5_12_3.png"
"TRUE",79,1,"1",300,0,3,3,"Male",7,12,73,1,"plot_turk1_300_7_12_1.png"
"FALSE",36,5,"34",100,0.8382,3,5,"Male",0,5,232,3,"plot_turk1_100_0_5_3.png"
"FALSE",51,1,"1",100,0.0036,3,5,"Male",3,5,232,2,"plot_turk1_100_3_5_2.png"
"FALSE",37,3,"1",100,0.0248,3,5,"Male",3,12,232,1,"plot_turk1_100_3_12_1.png"
"FALSE",18,1,"1",100,0.6744,3,5,"Male",3,12,232,3,"plot_turk1_100_3_12_3.png"
"TRUE",51,1,"1",100,1e-04,3,5,"Male",10,12,232,2,"plot_turk1_100_10_12_2.png"
"FALSE",39,4,"4",300,0.0063,3,5,"Male",1,5,232,1,"plot_turk1_300_1_5_1.png"
