"beta","pow","sample_size","sigma","test"
-0.71,0.883313168902875,100,5,"smooth4"
-0.76,0.8819912468527,100,5,"smooth4"
-0.81,0.881006128145416,100,5,"smooth4"
-0.86,0.880340051209765,100,5,"smooth4"
-0.91,0.879929547065246,100,5,"smooth4"
-0.96,0.879711146731355,100,5,"smooth4"
-1.01,0.87962138122759,100,5,"smooth4"
-1.06,0.879596781573447,100,5,"smooth4"
-1.11,0.879573878788424,100,5,"smooth4"
-1.16,0.879489203892017,100,5,"smooth4"
-1.21,0.879279287903725,100,5,"smooth4"
-1.26,0.87887786433671,100,5,"smooth4"
-1.31,0.87819038425591,100,5,"smooth4"
-1.36,0.877336559109884,100,5,"smooth4"
-1.41,0.876508077228279,100,5,"smooth4"
-1.46,0.875896626940736,100,5,"smooth4"
-1.51,0.875684484804777,100,5,"smooth4"
-1.56,0.875706822729781,100,5,"smooth4"
-1.61,0.875833786691634,100,5,"smooth4"
-1.66,0.876065698602282,100,5,"smooth4"
-1.71,0.876402880373672,100,5,"smooth4"
-1.76,0.876845653917748,100,5,"smooth4"
-1.81,0.877394341146458,100,5,"smooth4"
-1.86,0.878049263971746,100,5,"smooth4"
-1.91,0.87881074430556,100,5,"smooth4"
-1.96,0.879679104059845,100,5,"smooth4"
-2.01,0.880654665146546,100,5,"smooth4"
-2.06,0.881737749477612,100,5,"smooth4"
-2.11,0.882928678964986,100,5,"smooth4"
-2.16,0.884227775520615,100,5,"smooth4"
-2.21,0.885635361056445,100,5,"smooth4"
-2.26,NA,100,5,"smooth4"
-2.31,NA,100,5,"smooth4"
-2.36,NA,100,5,"smooth4"
-2.41,NA,100,5,"smooth4"
-2.46,NA,100,5,"smooth4"
0.01,NA,100,5,"smooth5"
0.06,NA,100,5,"smooth5"
0.11,0.902478712292653,100,5,"smooth5"
0.16,0.898045884319837,100,5,"smooth5"
0.21,0.893832062001426,100,5,"smooth5"
0.26,0.889835109481995,100,5,"smooth5"
0.31,0.886052890906118,100,5,"smooth5"
0.36,0.882483270418372,100,5,"smooth5"
0.41,0.879121495040975,100,5,"smooth5"
0.46,0.875892154617753,100,5,"smooth5"
0.51,0.87279996596777,100,5,"smooth5"
0.56,0.869897337973122,100,5,"smooth5"
0.61,0.867236679515905,100,5,"smooth5"
0.66,0.864870399478217,100,5,"smooth5"
0.71,0.862850906742153,100,5,"smooth5"
0.76,0.861235619228272,100,5,"smooth5"
0.81,0.860204938830486,100,5,"smooth5"
0.86,0.859752560588323,100,5,"smooth5"
0.91,0.859775454811577,100,5,"smooth5"
0.96,0.860170591810041,100,5,"smooth5"
1.01,0.860834941893509,100,5,"smooth5"
1.06,0.861665475371775,100,5,"smooth5"
1.11,0.862559162554632,100,5,"smooth5"
1.16,0.863412973751873,100,5,"smooth5"
1.21,0.864123879273292,100,5,"smooth5"
1.26,0.864590821934161,100,5,"smooth5"
1.31,0.864830950630215,100,5,"smooth5"
1.36,0.864977837739275,100,5,"smooth5"
1.41,0.865157978176038,100,5,"smooth5"
1.46,0.865497866855205,100,5,"smooth5"
1.51,0.866118478892974,100,5,"smooth5"
1.56,0.86693339929516,100,5,"smooth5"
1.61,0.867866323455531,100,5,"smooth5"
1.66,0.868915593962394,100,5,"smooth5"
1.71,0.870079553404057,100,5,"smooth5"
1.76,0.871356544368828,100,5,"smooth5"
1.81,0.872744909445015,100,5,"smooth5"
1.86,0.874242991220927,100,5,"smooth5"
1.91,0.875849132284871,100,5,"smooth5"
1.96,0.877561675225155,100,5,"smooth5"
2.01,0.879378962630088,100,5,"smooth5"
2.06,0.881299337087977,100,5,"smooth5"
2.11,0.88332114118713,100,5,"smooth5"
2.16,0.885442717515856,100,5,"smooth5"
2.21,0.887662408662463,100,5,"smooth5"
2.26,NA,100,5,"smooth5"
2.31,NA,100,5,"smooth5"
2.36,NA,100,5,"smooth5"
2.41,NA,100,5,"smooth5"
2.46,NA,100,5,"smooth5"
-0.01,NA,100,5,"smooth5"
-0.06,NA,100,5,"smooth5"
-0.11,0.902478712292653,100,5,"smooth5"
-0.16,0.898045884319837,100,5,"smooth5"
-0.21,0.893832062001426,100,5,"smooth5"
-0.26,0.889835109481995,100,5,"smooth5"
-0.31,0.886052890906118,100,5,"smooth5"
-0.36,0.882483270418372,100,5,"smooth5"
-0.41,0.879121495040975,100,5,"smooth5"
-0.46,0.875892154617753,100,5,"smooth5"
-0.51,0.87279996596777,100,5,"smooth5"
-0.56,0.869897337973122,100,5,"smooth5"
-0.61,0.867236679515905,100,5,"smooth5"
-0.66,0.864870399478217,100,5,"smooth5"
-0.71,0.862850906742153,100,5,"smooth5"
-0.76,0.861235619228272,100,5,"smooth5"
-0.81,0.860204938830486,100,5,"smooth5"
-0.86,0.859752560588323,100,5,"smooth5"
-0.91,0.859775454811577,100,5,"smooth5"
-0.96,0.860170591810041,100,5,"smooth5"
-1.01,0.860834941893509,100,5,"smooth5"
-1.06,0.861665475371775,100,5,"smooth5"
-1.11,0.862559162554632,100,5,"smooth5"
-1.16,0.863412973751873,100,5,"smooth5"
-1.21,0.864123879273292,100,5,"smooth5"
-1.26,0.864590821934161,100,5,"smooth5"
-1.31,0.864830950630215,100,5,"smooth5"
-1.36,0.864977837739275,100,5,"smooth5"
-1.41,0.865157978176038,100,5,"smooth5"
-1.46,0.865497866855205,100,5,"smooth5"
-1.51,0.866118478892974,100,5,"smooth5"
-1.56,0.86693339929516,100,5,"smooth5"
-1.61,0.867866323455531,100,5,"smooth5"
-1.66,0.868915593962394,100,5,"smooth5"
-1.71,0.870079553404057,100,5,"smooth5"
-1.76,0.871356544368828,100,5,"smooth5"
-1.81,0.872744909445015,100,5,"smooth5"
-1.86,0.874242991220927,100,5,"smooth5"
-1.91,0.875849132284871,100,5,"smooth5"
-1.96,0.877561675225155,100,5,"smooth5"
-2.01,0.879378962630088,100,5,"smooth5"
-2.06,0.881299337087977,100,5,"smooth5"
-2.11,0.88332114118713,100,5,"smooth5"
-2.16,0.885442717515856,100,5,"smooth5"
-2.21,0.887662408662463,100,5,"smooth5"
-2.26,NA,100,5,"smooth5"
-2.31,NA,100,5,"smooth5"
-2.36,NA,100,5,"smooth5"
-2.41,NA,100,5,"smooth5"
-2.46,NA,100,5,"smooth5"
0.01,NA,100,5,"smooth6"
0.06,NA,100,5,"smooth6"
0.11,0.905397959783884,100,5,"smooth6"
0.16,0.902058147659413,100,5,"smooth6"
0.21,0.89887541409443,100,5,"smooth6"
0.26,0.895846455754731,100,5,"smooth6"
0.31,0.892967969306113,100,5,"smooth6"
0.36,0.890236651414375,100,5,"smooth6"
0.41,0.887646787484465,100,5,"smooth6"
0.46,0.885128196261702,100,5,"smooth6"
0.51,0.882686242963931,100,5,"smooth6"
0.56,0.880370514621425,100,5,"smooth6"
0.61,0.878230598264461,100,5,"smooth6"
0.66,0.876316080923314,100,5,"smooth6"
0.71,0.874676549628258,100,5,"smooth6"
0.76,0.873366424498923,100,5,"smooth6"
